	Japanese	English	Japanese Example	English Sentence	listening score	speaking score
1569	かざる	decorate, exhibit	てーぶる の うえ に はな を <b>かざりました</b>	I decorated the table with flowers.	0	0
1570	てちょう	pocketbook, memo	あたらしい <b>てちょう</b> を かいました	I bought a new notebook.	0	0
1571	さます	cool, let cool@awaken, wake up	おちゃ が とても あつかった の で <b>さまして</b> から のんだ の@こども が め を <b>さました</b>	As the tea was very hot, I let it cool and then drank it.@The child woke up.	0	0
1572	でんわちょう	telephone book	<b>でんわちょう</b> を みせて ください	Please show me the telephone book.	0	0
1573	かう	buy@raise, keep	ゆうびんきょく で きって を <b>かいました</b>@ぺっと を <b>かった</b> こと は あります か	I bought a stamp at the post office.@Have you ever had a pet?	0	0
1574	ジャガイモ	potato	<b>ぽてと</b> さらだ を つくる から <b>じゃがいも</b> を かって きて	I'm going to make potato salad, so go and buy some potatoes.	0	0
1575	ぎゅうにゅう	milk	わたし は まいあさ <b>ぎゅうにゅう</b> を のむ	I drink milk every morning.	0	0
1576	げんかん	entrance, door	<b>げんかん</b> に はな を かざりました	I decorated the entrance with flowers.	0	0
1577	かがく	chemistry@science	かれ は <b>かがく</b> の きょうじゅ です@<b>かがく</b> は つねに しんぽ して いる	He's a chemistry professor.@Science is always advancing.	0	0
1578	めがね	glasses, judgment	かれ は <b>めがね</b> を かけて います	He's wearing glasses.	0	0
1579	ねむい	sleepy	きょう は とても <b>ねむい</b> です	I'm very sleepy today.	0	0
1580	ソファー	sofa, sofa bed	この <b>そふぁー</b> は きもち が いい	This sofa is very comfortable.	0	0
1581	ねむる	sleep	きのう は はちじかん <b>ねむりました</b>	I slept for eight hours yesterday.	0	0
1582	ふうとう	envelope	その てがみ を <b>ふうとう</b> に いれた	I put that letter in an envelope.	0	0
1583	でかける	go out, be about to go out	しゅじん は もう <b>でかけました</b>	My husband has already gone out.	0	0
1584	たばこ	tobacco, cigarette	かれ は <b>たばこ</b> を すいません	He doesn't smoke.	0	0
1585	かけざん	multiplication	おとうと は <b>かけざん</b> を ならって いる	My little brother is learning his multiplication tables.	0	0
1586	はくしゅ	applause, clapping	おおき な <b>はくしゅ</b> が あがった	There was a big round of applause.	0	0
1587	そうじ	cleaning	しゅうまつ は へや の <b>そうじ</b> を しました	I cleaned my room on the weekend.	0	0
1588	こうちょう	favorable condition@principal, schoolmaster	こんげつ は えあこん の うりあげ が <b>こうちょう</b> です@あの ひと は こうこう の <b>こうちょう</b> だ	Sales of air conditioners are good this month.@That person is a high school principal.	0	0
1589	ちょうど	just, as if	ねだん は <b>ちょうど</b> さんまんえん です	The price is exactly 30,000 yen.	0	0
1590	そうじき	vacuum cleaner	<b>そうじき</b> が こわれた	The vacuum cleaner broke.	0	0
1591	じき	time, season@opportunity, chance	いま は あなた に とって だいじ な <b>じき</b> です@あせらず に <b>じき</b> を まつ べき です	It's an important time for you now.@You should wait patiently for the right opportunity.	0	0
1592	せいさく	policy, political measures@manufacture, production	あたらしい <b>せいさく</b> は あまり いい と は おもえません@この えいが は ほんこん で <b>せいさく</b> されました	I don't think the new policy is very good.@This movie was produced in Hong Kong.	0	0
1593	にぎる	grasp, make hand-rolled sushi balls	しょうじょ は ははおや の て を <b>にぎった</b>	The girl clasped her mother's hand.	0	0
1594	あくしゅ	handshake, handshaking	かれら は <b>あくしゅ</b> を した	They shook hands.	0	0
1595	むかえる	welcome, go out to meet, invite	あね が くうこう まで <b>むかえ</b>に きて くれます	My big sister is coming to pick me up at the airport.	0	0
1596	ちょっと	just a moment, just a little, easily	もう <b>ちょっと</b> しお を いれて	Put in a little more salt.	0	0
1597	おまわりさん	policeman	あの <b>おまわりさん</b> に みち を ききましょう	Let's ask that policeman how to get there.	0	0
1598	いくつ	how many, how old	むすめさん は <b>いくつ</b> に なりました か	How old is your daughter now?	0	0
1599	いま	now@living room	かれ は <b>いま</b> べんきょう して います@ちち は <b>いま</b> で てれび を みて いる	He's studying now.@My father is watching TV in the living room.	0	0
1600	じょうだん	joke	<b>じょうだん</b> は やめて ください	Please stop joking.	0	0
1601	あな	hole, cavity	くつした に <b>あな</b> が あいて いる	There are holes in my socks.	0	0
1602	さびしい	lonely, desolate, sad	これ は <b>さびしい</b> きょく です ね	This is a sad song.	0	0
1603	ていねい	polite, courteous, careful	かのじょ は いつも <b>ていねい</b> に しごと を します	She always works carefully.	0	0
1604	かわいそう	poor, pitiable	その <b>かわいそう</b> な こどもたち は たべる もの が ない	Those poor children have nothing to eat.	0	0
1605	あまり	(not) much@remainder, leftover	この びーる は <b>あまり</b> おいしく ありません@<b>あまり</b> は じかい つかいましょう	This beer isn't very good.@Let's use the left-over portion next time.	0	0
1606	てんぷら	tempura, Japanese deep-fried breaded food	わたし は えび の <b>てんぷら</b> が すき です	I like shrimp tempura.	0	0
1607	けが	injury	かのじょ は うで を <b>けが</b>した	She injured her arm.	0	0
1608	がまん	patience, self-restraint	かれ の わがまま に は <b>がまん</b> できません	I can't put up with his selfishness.	0	0
1609	ようちえん	kindergarten	むすめ は <b>ようちえん</b> に かよって います	My daughter goes to kindergarten.	0	0
1610	かくれる	hide, disappear	たいよう が くも に <b>かくれた</b>	The sun hid behind the clouds.	0	0
1611	とんとん	tapping	はは の かた を <b>とんとん</b> たたいた	I patted my mother's shoulders as a massage.	0	0
1612	ひかげ	the shade	あつい の で <b>ひかげ</b> で やすみましょう	It's hot so let's take a rest in the shade.	0	0
1613	ずいぶん	extremely, considerably	<b>ずいぶん</b> はやく おわった ね	You finished really early, didn't you?	0	0
1614	がんばる	persist, be tenacious	あした の しけん <b>がんばって</b> ね	Good luck on tomorrow's exam.	0	0
1615	ころ	time	こども の <b>ころ</b> よく その こうえん で あそんだ	I often played in that park when I was a kid.	0	0
1616	にんじん	carrot	わたし は <b>にんじん</b> が きらい だ	I hate carrots.	0	0
1617	このごろ	now, these days, recently	<b>このごろ</b> よく かた が こる	These days I often get stiff shoulders.	0	0
1618	しょうぼうしょ	fire station	この まち に は <b>しょうぼうしょ</b> が ひとつ しか ありません	There's only one fire station in this town.	0	0
1619	しんせつ	kind, friendly@kindness	<b>しんせつ</b> に して くださって どうも ありがとう ございます@ご<b>しんせつ</b> は けっして わすれません	Thank you for being so kind to me.@I will never forget your kindness.	0	0
1620	かんづめ	canned goods, cooping-up	<b>かんづめ</b> の ふるーつ は とても あまい	Canned fruit is very sweet.	0	0
1621	ぬるい	tepid, lukewarm	ふろ が <b>ぬるかった</b>	The bath was lukewarm.	0	0
1622	くさる	rot, corrode	りんご が <b>くさって いる</b>	This apple's rotten.	0	0
1623	とうふ	tofu	わたし は まいにち <b>とうふ</b> を たべます	I eat tofu every day.	0	0
1624	ゆか	floor	<b>ゆか</b> が ぬれて いる	The floor is wet.	0	0
1625	パーセント	percent	この むら の はちじゅっ<b>ぱーせんと</b> は ろうじん です	Eighty percent of the people in this village are elderly.	0	0
1626	とこや	barber, barbershop	きのう <b>とこや</b> で かみ を きった	Yesterday I had my hair cut at the barber's.	0	0
1627	たたみ	tatami, mat	その ほてる に は <b>たたみ</b> の へや が ある	That hotel has tatami rooms.	0	0
1628	たたむ	fold, shut	ふとん を <b>たたんで</b> ください	Please fold up the futon.	0	0
1629	ほす	dry, desiccate	はは は せんたくもの を <b>ほして</b> います	My mother's hanging out the laundry to dry.	0	0
1630	ひざ	knee	すきー で <b>ひざ</b> を けがしました	I injured my knee skiing.	0	0
1631	ぜひ	by all means, at any cost	<b>ぜひ</b> うち に きて ください	By all means come to my house.	0	0
1632	けいご	honorific language, polite speech	おきゃくさま に は <b>けいご</b> を つかいなさい	Use polite language to customers.	0	0
1633	そんけい	respect, esteem, honor	そふ は かぞく みんな に <b>そんけい</b> されて います	My grandfather is respected by the whole family.	0	0
1634	ひじ	elbow	かれ は <b>ひじ</b> に けが を した	He injured his elbow.	0	0
1635	おじさん	uncle@Mister, middle-aged man	きのう <b>おじさん</b> に あいました@いま そこで となり の <b>おじさん</b> に あった よ	I met my uncle yesterday.@I just met the man next door.	0	0
1636	しく	lay, spread	うまれて はじめて ふとん を <b>しいた</b>	I laid out the futon for the first time in my life.	0	0
1637	かみなり	thunder, lightning	<b>かみなり</b> が なって います	Thunder is rumbling.	0	0
1638	しまう	put away	かのじょ は たいせつ な しょるい を つくえ に <b>しまった</b>。	She put the important documents away in her desk.	0	0
1639	ひも	laces, string, rope	くつ の <b>ひも</b> が きれた	The shoe lace is broken.	0	0
1640	おどる	dance	かのじょ は くらぶ で <b>おどる</b> の が すき です	She likes to dance at the club.	0	0
1641	おどり	dance, dancing	この <b>おどり</b> は やさしい です よ	This dance is easy.	0	0
1642	ふむ	step on, tread on	うんてんしゅ が ぶれーき を <b>ふんだ</b>	The driver stepped on the brake.	0	0
1643	くれる	be given@grow dark	ともだち が たんじょうび ぷれぜんと を <b>くれた</b>@ひ が <b>くれる</b> まえ に かえりましょう	My friend gave me a birthday present.@Let's go home before it gets dark.	0	0
1644	ふみきり	railroad crossing	その <b>ふみきり</b> は ながい	This railroad crossing has a long signal.	0	0
1645	ける	kick	ごーるきーぱー が ぼーる を <b>けった</b>。	The goalkeeper kicked the ball.	0	0
1646	しょくどう	dining hall, restaurant	だいがく の <b>しょくどう</b> は やすい	The university cafeteria is cheap.	0	0
1647	ねこ	cat, feline	わたし は <b>ねこ</b> が だいすき です	I love cats.	0	0
1648	きかん	term, period@engine, agency	てすと <b>きかん</b> は とおか から じゅうごにち まで だ@たいふう で こうつう <b>きかん</b> が すとっぷ して いる	The test period is from the 10th to the 15th.@Transportation has stopped because of the typhoon.	0	0
1649	ぶんしょう	writing, prose	かれ は <b>ぶんしょう</b> が とても うまい	His writing is very good.	0	0
1650	じょうぶ	healthy, stout	そぼ は からだ が <b>じょうぶ</b> だ	My grandmother is physically strong.	0	0
1651	おじいさん	grandfather	わたし の <b>おじいさん</b> は まいにち さんぽ します 。	My grandfather takes a walk every day.	0	0
1652	おばあさん	grandmother	かのじょ は <b>おばあさん</b> と すん でいる 。	She lives with her grandmother.	0	0
1653	した	under, below@tongue	さいふ は つくえ の <b>した</b> に あった@<b>した</b> を だして ください	My purse was under the desk.@Stick out your tongue.	0	0
1654	ようこそ	welcome	にっぽん へ <b>ようこそ</b>	Welcome to Japan.	0	0
1655	うるさい	noisy, annoying, pesky@noisy, bothersome	この とおり は くるま の おと が <b>うるさい</b>@あまり <b>うるさく</b> いわない で ください	Traffic is noisy on this street.@Don't nag me so much.	0	0
1656	そふ	grandfather	<b>そふ</b> は げんき です	My grandfather is well.	0	0
1657	そぼ	grandmother	<b>そぼ</b> は きょうと で うまれました	My grandmother was born in Kyoto.	0	0
1658	かぜぐすり	remedy for a cold	この <b>かぜぐすり</b> を のみなさい	Take this cold medicine.	0	0
1659	ウェーター	waiter	<b>うぇーたー</b> が みず を はこんで きました	The waiter brought some water.	0	0
1660	ふろや	bathhouse, public bath	きのう ともだち と お<b>ふろや</b>さん に いった	I went with a friend to a public bath yesterday.	0	0
1661	ふろ	bath	ちち は いま お <b>ふろ</b> に はいって います	My father's in the bath now.	0	0
1662	しょうわ	Showa era	わたし の りょうしん は <b>しょうわ</b>うまれ です	My parents were born in the Showa era.	0	0
1663	むらさき	purple	かのじょ は <b>むらさき</b> の どれす を きて いた	She wore a purple dress.	0	0
1664	かね	money@bell, gong	これ は かなり <b>かね</b> が かかった@この <b>かね</b> の ね は とても きれい です ね	This cost quite a bit of money.@The sound of this bell is very beautiful.	0	0
1665	そんなに	that, so	いちど に <b>そんなに</b> たくさん は できない	You can't do that much at one time.	0	0
1666	こうちゃ	black tea	あたたかい <b>こうちゃ</b> が のみたい	I want to drink hot tea.	0	0
1667	もも	peach, peach tree	わたし の いちばん すき な くだもの は <b>もも</b> です	My favorite fruit is peaches.	0	0
1668	まくら	pillow	わたし は ひくい <b>まくら</b> が すき です	I like thin pillows.	0	0
1669	うそ	lie	<b>うそ</b> を ついて は いけません	You mustn't lie.	0	0
1670	えんりょ	reserve, hesitation, forethought	わたし は <b>えんりょ</b> します	No thanks, I'll pass (on that).	0	0
1671	しかる	scold, tell off, reprimand	ちちおや が こども を <b>しかって いる</b>	That father is scolding his children.	0	0
1672	かさ	umbrella, parasol	でんしゃ に <b>かさ</b> を わすれた	I left my umbrella on the train.	0	0
1673	ねんがじょう	New Year's card	きのう <b>ねんがじょう</b> を だしました	I sent my New Year cards yesterday.	0	0
1674	にぎやか	lively, exciting	あさくさ は <b>にぎやか</b> な まち です	Asakusa is a lively town.	0	0
1675	あいさつ	greet, greeting	かのじょ は えがお で <b>あいさつ</b> した	She greeted me with a smile.	0	0
1676	ともなう	accompany, go with	その しごと は きけん を <b>ともなう</b>	Danger comes with the job.	0	0
1677	くつ	shoes, boots	<b>くつ</b> が よごれた	My shoes got dirty.	0	0
1678	くつした	socks, stockings	この <b>くつした</b> は さんそく で せんえん です	These socks are 1,000 yen for 3 pairs.	0	0
1679	みがく	polish, grind	くつ を <b>みがいて</b> ください	Please polish your shoes.	0	0
1680	はみがき	toothpaste, brushing one's teeth	<b>はみがき</b> は しました か	Have you brushed your teeth?	0	0
1681	ろうか	hallway, corridor	<b>ろうか</b> は はしらない で ください	Don't run in the hallway.	0	0
1682	びん	bottle, flask	<b>びん</b>びーる を ちゅうもん した	I ordered a bottle of beer.	0	0
1683	ほめる	praise, commend	がんばった の で <b>ほめられました</b>	He was praised because worked hard.	0	0
1684	がんたん	New Year's Day	<b>がんたん</b> に かれ から ねんがじょう が きた 。	I got a New Year's card from him on January 1.	0	0
1685	そで	sleeve	この しゃつ は <b>そで</b> が みじかい	This shirt has short sleeves.	0	0
1686	ながそで	clothes with long sleeves	きょう は さむい ので <b>ながそで</b> を きました 。	I put on a long-sleeved shirt because it's cold today.	0	0
1687	はんそで	short-sleeved shirt	きょう は 、 <b>はんそで</b> の しゃつ を きよう 。	I'll put on a short-sleeved shirt today.	0	0
1688	ばか	fool, nonsense	わたし は <b>ばか</b> だった	I was foolish.	0	0
1689	すごい	wonderful, great, incredible	<b>すごい</b> あめ に なった	It began raining cats and dogs.	0	0
1690	そる	shave	ちち は まいにち ひげ を <b>そります</b>	My father shaves every day.	0	0
1691	けんとう	consideration, inspection@estimate, aim	きょう じゅう に この もんだい を <b>けんとう</b> して ください@この しごと に は なんにち ひつよう か <b>けんとう</b> も つかない ね	Please consider this problem by the end of the day.@I can't predict how many days are needed for this job.	0	0
1692	けんか	fight, quarrel, argument	<b>けんか</b> は やめて	Stop fighting.	0	0
1693	たたく	tap, hit	かれ は こども の おしり を <b>たたいた</b>	He slapped his child on the bottom.	0	0
1694	かむ	bite, chew	もっと よく <b>かみなさい</b>	Chew your food better.	0	0
1695	みそしる	miso soup	わたし は まいにち <b>みそしる</b> を のみます 。	I have miso soup every day.	0	0
1696	めい	niece	わたし の <b>めい</b> は さんさい です	My nieces are three years old.	0	0
1697	いちご	strawberry	この <b>いちご</b> は とても あまい	This strawberry is very sweet.	0	0
1698	なす	eggplant	ゆうはん に <b>なす</b> の てんぷら を たべました 。	I ate eggplant tempura for dinner.	0	0
1699	しかく	square, quadrilateral@qualifications, competence	かみ を <b>しかく</b> に きって ください@にほんご を おしえる <b>しかく</b> を とりたい です	Please cut the paper into a square.@I want to get a license to teach Japanese.	0	0
1700	いす	chair	その お としより は <b>いす</b> に すわった 。	That old person sat on a chair.	0	0
1701	やせる	lose weight, become thin	わたし は すこし <b>やせました</b>	I've lost a little weight.	0	0
1702	きょうかい	boundary, border@church	ここ は となり の し と の <b>きょうかい</b> です@わたしたち は <b>きょうかい</b> で けっこんしき を しました	Here is the border with the neighboring city.@We had our wedding in a church.	0	0
1703	しょうゆ	soy sauce	もうすこし <b>しょうゆ</b> を たして ください 。	Please add a little more soy sauce.	0	0
1704	はさみ	scissors, pincers, tongs	この <b>はさみ</b> は よく きれる	These scissors cut well.	0	0
1705	かばん	bag, handbag, briefcase	その くろい <b>かばん</b> は ぼく の です	The black briefcase is mine.	0	0
1706	せいさん	production@settlement of accounts, adjustment	ぼるどー は わいん の <b>せいさん</b> で ゆうめい だ@おりる えき で りょうきん を <b>せいさん</b> して ください	Bordeau is famous for wine production.@Please adjust the fare at the station where you get off.	0	0
1707	あご	jaw, chin	<b>あご</b> が いたい	My jaw hurts.	0	0
1708	せっけん	soap	<b>せっけん</b> で て を あらって ください	Please wash your hands with soap.	0	0
1709	いちじ	temporarily	おみせ は <b>いちじ</b> きゅうぎょう に なった ん だ	The store was temporarily closed.	0	0
1710	かねもうけ	making money	<b>かねもうけ</b> が かれ の しゅみ だ	Moneymaking is his hobby.	0	0
1711	さきに	before, ahead	では わたしたち は <b>さきに</b> しゅっぱつ します	Right, we will set off before you.	0	0
1712	せんじつ	the other day, a few days ago	<b>せんじつ</b> の けん は どう なりました か	What happened about that matter the other day?	0	0
1713	いじょう	not less than, more than@extraordinary, exceptional	ひこうき が いちじかん <b>いじょう</b> おくれた@ことし の なつ は <b>いじょう</b> な あつさ です ね	The plane arrived over an hour late.@This summer is exceptionally hot.	0	0
1714	いまごろ	about this time	<b>いまごろ</b> そんな こと いわない で	Don't say such a thing now.	0	0
1715	ケース	case	この <b>けーす</b> に は CD が 50 まい はいります	50 CDs will fit in this case.	0	0
1716	いまにも	at any moment	<b>いまにも</b> あめ が ふりそう です ね	It looks like it's going to rain any moment now.	0	0
1717	いまに	before long, someday	あなた も <b>いまに</b> わかる でしょう	You will understand one day.	0	0
1718	いきき	comings and goings, communication	さいきん かれ の ところ に <b>いきき</b> して ない の	I haven't been to his place lately.	0	0
1719	ぎょう	line, row	ご<b>ぎょう</b> いない で こたえ を かいて ください	Please write your answer within five lines.	0	0
1720	おおいに	very, greatly	<b>おおいに</b> まなび おおいに あそびなさい	Study hard, play hard.	0	0
1721	おおげさ	exaggerate	かれ の はなし は <b>おおげさ</b> だ	His story is exaggerated.	0	0
1722	イメージ	image	かれ に は せいけつ な <b>いめーじ</b> が ある ね	He has a clean image.	0	0
1723	おおみず	flood, inundation	その とし この ちいき で は <b>おおみず</b> が ありました	In that year there was a flood in this area.	0	0
1724	しんねん	belief, conviction@New Year	じぶん の <b>しんねん</b> に したがいたい と おもいます@<b>しんねん</b> あけまして おめでとう ございます	I think I want to follow my own faith.@Happy new year.	0	0
1725	すいちゅう	in the water, underwater	この かめら なら <b>すいちゅう</b> の しゃしん が とれます ね	With this camera you can take underwater photographs .	0	0
1726	すくなくとも	at least	この しごと に は <b>すくなくとも</b> にしゅうかん ひつよう でしょう	At least two weeks will be needed for this job.	0	0
1727	くださる	give, favor with	せんせい が てがみ を <b>くださいました</b>	The teacher gave me a letter.	0	0
1728	げすい	sewerage, drainage	その みち は いま <b>げすい</b> の こうじ を して いる よ	The street is now under construction for drainage.	0	0
1729	うえした	above and below	かれ は <b>うえした</b> おそろい の ふく を きています ね 。	He is wearing a matching top and bottom.	0	0
1730	じょうげ	top and bottom	この ふく は <b>じょうげ</b> せっと で かいました	I bought these clothes as a top and bottoms set.	0	0
1731	さゆう	right and left	<b>さゆう</b> を みてから おうだん ほどう を わたりなさい	Look left and right before crossing the pedestrian crossing.	0	0
1732	きじゅん	standard, criterion@standard, criterion	はんだん の <b>きじゅん</b> が しめされた@この たてもの は けんちく の <b>きじゅん</b> に たっしていない よ 。	The standards of judgment were outlined.@This building doesn't meet the construction standards.	0	0
1733	しほう	all directions, far and wide	ひ が <b>しほう</b> に ひろがった ん だ よ	The fire has spread in all directions.	0	0
1734	がいしゅつ	outing	ごご は <b>がいしゅつ</b> の よてい です	I plan to go out this afternoon.	0	0
1735	しゅうきゅう	weekend	うち の かいしゃ は <b>しゅうきゅう</b> ふつか です	Our company has two days off a week.	0	0
1736	きっかけ	chance, opportunity	だいがく に かよう の が じょうきょう の <b>きっかけ</b> でした	The reason I came to Tokyo was to go to university.	0	0
1737	しゅつりょく	output	この ぷりんたー で しゃしん を <b>しゅつりょく</b> できます	You can output pictures with this printer.	0	0
1738	かりょく	heating power, heat	<b>かりょく</b> を よわめない と にく が こげる よ	The meat's going to burn if you don't lower the heat.	0	0
1739	すいりょく	waterpower, hydraulic power	この しま は はつでん を <b>すいりょく</b> に たよって いる ん だ	This island relies on hydroelectric energy to generate power.	0	0
1740	くちげんか	quarrel	きのう おとうと と <b>くちげんか</b> しました	I quarreled with my younger brother yesterday.	0	0
1741	おおて	major companies	かれ は <b>おおて</b> の めーかー に つとめて います	He works for a big manufacturing company.	0	0
1742	あしもと	step, under foot	くらい の で <b>あしもと</b> に き を つけて ください	Please watch your step in the dark.	0	0
1743	かざん	volcano	しま で <b>かざん</b> が ふんか した よ	The volcano erupted on the island.	0	0
1744	すっかり	all, completely	かいもの を <b>すっかり</b> わすれて いた	I completely forgot the shopping.	0	0
1745	おがわ	brook, stream	<b>おがわ</b> が さらさら ながれて います	The stream flows smoothly.	0	0
1746	くうちゅう	in the air, in the sky	ちょうちょう が <b>くうちゅう</b> を まって います	The butterflies are flying in the air.	0	0
1747	からっぽ	empty	ぼく の さいふ は <b>からっぽ</b> だ よ	My purse is empty.	0	0
1748	げ	low class, inferiority, below	かのじょ の せいせき は じょう の <b>げ</b> です	Her grades are ranked at the bottom of the top group.	0	0
1749	しゅうかん	custom, habit@published weekly	まいあさ こーひー を のむ の が <b>しゅうかん</b> です@この <b>しゅうかん</b>し を まいしゅう かって いる の	I'm in the habit of drinking coffee every morning.@I buy this weekly magazine every week.	0	0
1750	かいすい	seawater	<b>かいすい</b> から しお を つくります	Salt is made from seawater.	0	0
1751	シリーズ	series	この <b>しりーず</b> は ごじゅうわ も ある そう よ	I hear that there are as many as 50 stories in the series.	0	0
1752	すいでん	paddy field, rice field	まど の そと に <b>すいでん</b> が ひろがって いた よ	A sweep of rice field appeared outside the window.	0	0
1753	しんりん	forest, woodland	せかいじゅう で <b>しんりん</b> が うしなわれて います	Forests are being lost all over the world.	0	0
1754	おとこらしい	manly, masculine	かれ は <b>おとこらしさ</b> を こころがけて いる ね	He's making an effort to appear manly.	0	0
1755	おんならしい	womanly, feminine	かのじょ は <b>おんならしい</b>	She's feminine.	0	0
1756	しょうじょ	girl	<b>しょうじょ</b> は ははおや の て を にぎった	The girl clasped her mother's hand.	0	0
1757	このむ	like, be fond of	かのじょ は せ の たかい だんせい を <b>このみます</b> ね	She prefers tall men.	0	0
1758	エイズ	AIDS	その くに で は <b>えいず</b> が おおき な しゃかい もんだい ね	AIDS is a major social issue in that country.	0	0
1759	このみ	taste, preference	あね と わたし は ふく の <b>このみ</b> が にて います	My elder sister and I have the same taste in clothes.	0	0
1760	じょうたつ	progress, proficiency	みじかい じかん に ずいぶん <b>じょうたつ</b> しました ね	You have progressed well in a short time.	0	0
1761	いっか	household, family	あの <b>いっか</b> は なか が いい	That family is very close.	0	0
1762	いえで	running away from home	かれ の むすこ が <b>いえで</b> した そう よ	I hear that his son left home.	0	0
1763	おおや	landlord	ここ の <b>おおや</b> は ちかく に すんで います よ	The landlord lives near here.	0	0
1764	がんらい	originally, essentially	かれ は <b>がんらい</b> まじめ な ひと です	He is essentially a serious person.	0	0
1765	しょうひん	goods, commodities@prize, trophy	この <b>しょうひん</b> は よく うれて いる@ぱーてぃー の びんご の <b>しょうひん</b> は なに が いいだろう	This product is selling well.@What might be a good prize for bingo at the party?	0	0
1766	がんじつ	New Year's Day	<b>がんじつ</b> に は はつもうで に いきます	I visit a shrine on New Year's Day for the first prayer.	0	0
1767	エンジン	engine	くるま の <b>えんじん</b> が ちょうし わるい	The car engine is in a bad condition.	0	0
1768	おちゅうげん	mid-year gift, summer gift	<b>おちゅうげん</b> に びーる が とどきました	We received some beer as a summer gift.	0	0
1769	あまのがわ	Milky Way	こんや は <b>あまのがわ</b> が みえます ね	The Milky Way can be seen tonight.	0	0
1770	きぶん	feeling, mood	きょう は さいこう に いい <b>きぶん</b> だ よ	I feel on top of the world today.	0	0
1771	きりょく	energy, vitality	かれ は <b>きりょく</b> に あふれて います ね	He really has energy to spare.	0	0
1772	おおあめ	heavy rain	かくち で <b>おおあめ</b> が ふって います	Heavy rain is falling in all regions.	0	0
1773	こさめ	drizzle	<b>こさめ</b> な の で かさ は いりません	I don't need an umbrella as it is only drizzling.	0	0
1774	うてん	rainy weather	しあい は <b>うてん</b> ちゅうし です	The match is canceled due to rain.	0	0
1775	おおゆき	heavy snow	じゅうねん ぶり の <b>おおゆき</b> です	This is the heaviest snow in ten years.	0	0
1776	あおぞら	blue sky	くも ひとつ ない <b>あおぞら</b> です ね	It is a cloudless blue sky.	0	0
1777	あける	to dawn@empty, clear out@open, unlock	もうすぐ よ が <b>あける</b> ね@かのじょ は おとしより の ため に せき を <b>あけた</b> ん だ@まど を <b>あけて</b> ください	It will be dawn soon.@She gave up her seat to the elderly person.@Please open the window.	0	0
1778	あかり	light	へや の <b>あかり</b> を つけましょう	Let's turn on the room light.	0	0
1779	スピード	speed	かーぶ を まがる とき は <b>すぴーど</b> を おとしましょう	You should slow down when driving around a bend.	0	0
1780	く	nine@ward@phrase, clause	わたし は <b>く</b>がつ に いく よてい です@とうきょう に は 23 の <b>く</b> が ある 。@この <b>く</b> は どんな いみ でしょう か	I plan to go in September.@There are 23 wards in Tokyo.@What does this phrase mean?	0	0
1781	あけがた	dawn, near daybreak	<b>あけがた</b> に あめ が ふりはじめました ね	It began to rain at dawn.	0	0
1782	いっこうに	absolutely, at all	かれ は <b>いっこうに</b> きょうみ を しめさない の	He doesn't show any interest at all.	0	0
1783	いかに	how, in what way	かれ に あえば かれ が <b>いかに</b> いい ひと か わかります	If you met him you'd realize what a nice person he is.	0	0
1784	きかす	tell, read aloud	こども に むかしばなし を <b>きかせて</b>あげた の 。	I read a story to the children.	0	0
1785	ききて	listener, audience	かのじょ は いつも <b>ききて</b> に まわる ね	She always turns to the listener.	0	0
1786	きゃくま	guest room, parlor	おきゃくさん を <b>きゃくま</b> に おとおし した わ よ	I showed the guest into the reception room.	0	0
1787	くうかん	space, room	せまい <b>くうかん</b> に もの が たくさん おいて ある ね	A lot of things have been put into a tight space.	0	0
1788	かいじょう	venue, meeting place@maritime	<b>かいじょう</b> は ひと で いっぱい に なりました@<b>かいじょう</b> で しょうとつ じこ が はっせい した	The hall was filled with people.@There was a collision at sea.	0	0
1789	えんだか	appreciation of the yen	<b>えんだか</b> の えいきょう で かいがい せいひん が やすく かえます よ	Overseas products can be bought more cheaply because of the strong yen.	0	0
1790	わたくし	I, myself	<b>わたくし</b> は ほっかいどう の しゅっしん です	I'm from Hokkaido.	0	0
1791	わたし	I	<b>わたし</b> が いきましょう	Why don't I go.	0	0
1792	さいこう	maximum, supreme	これまで で <b>さいこう</b> の けっか が でた よ	I got my best results so far.	0	0
1793	スタート	start, begin	まらそん は あめ の なか で <b>すたーと</b> した の	The marathon started in the rain.	0	0
1794	さいてい	lowest	これ は いま まで で <b>さいてい</b> の きろく だ	This is the worst record so far.	0	0
1795	さいしょう	the smallest, minimum	これ は せかい で <b>さいしょう</b> の こんぴゅーたー です	This is the smallest computer in the world.	0	0
1796	すむ	live, reside@be settled, complete@clear, become clear	かれ は かいしゃ の ちかく に <b>すんで いる</b>@ちち の しゅじゅつ が ぶじ に <b>すみました</b>@やま の くうき は <b>すんで います</b> ね	He lives near his office.@My father's operation came off without a hitch.@The mountain air is clear.	0	0
1797	さいじょう	best, highest	この ほてる で は <b>さいじょう</b> の さーびす が うけられます	You can get the best service at this hotel.	0	0
1798	さいちゅう	in the middle of, during	ゆうしょく の <b>さいちゅう</b> に でんわ が かかって きた の	I got a phone call in the middle of supper.	0	0
1799	しょにち	first day, opening day	かいぎ の <b>しょにち</b> に しちょう が すぴーち を した よ	The mayor made a speech on the first day of the conference.	0	0
1800	おまえ	you, darling	<b>おまえ</b> の いう こと は しんじられ ない	I can't believe what you say.	0	0
