Kanji	English	Reading	Example Sentence	Example Sentence Reading	English Sentence	reading score	writing score
苦心	pains, efforts	くしん	<b>苦心</b>して絵を描き上げました。	<b>くしん</b> して え を かきあげました	I took pains over finishing the picture.	0	0
苦しみ	distress, suffering	くるしみ	誰も彼の<b>苦しみ</b>を理解していなかったな。	だれ も かれ の <b>くるしみ</b> を りかい して いなかった な	No one recognized his suffering.	0	0
苦痛	pain, agony	くつう	私は人前で話すことが<b>苦痛</b>です。	わたし は ひとまえ で はなす こと が <b>くつう</b> です	It is painful for me to speak in front of other people.	0	0
苦しめる	torment, trouble	くるしめる	強い日差しが選手たちを<b>苦しめた</b>の。	つよい ひざし が せんしゅたち を <b>くるしめた</b> の	The strong sunlight troubled the athletes.	0	0
セルフサービス	self-service	セルフサービス	この食堂は<b>セルフサービス</b>です。	この しょくどう は <b>せるふさーびす</b> です	This dining hall is self-service.	0	0
苦労	difficulty, hardship	くろう	母は<b>苦労</b>して私たちを育てたの。	はは は <b>くろう</b> して わたしたち を そだてた の	My mother had a hard time bringing us up.	0	0
勤労	labor, work	きんろう	父は長い<b>勤労</b>生活を送ったんです。	ちち は ながい <b>きんろう</b> せいかつ を おくった ん です	My father had a long working career.	0	0
過労	overwork	かろう	彼は<b>過労</b>のために倒れたの。	かれ は <b>かろう</b> の ため に たおれた の	He collapsed from overworking.	0	0
困難	difficulty, hardship	こんなん	<b>困難</b>にあってもあきらめてはいけないよ。	<b>こんなん</b> に あって も あきらめて は いけない よ	You must not give up even if you encounter difficulties.	0	0
甘える	depend on, take advantage of	あまえる	彼女の親切に<b>甘えました</b>。	かのじょ の しんせつ に <b>あまえました</b>	I depended on her kindness.	0	0
甘やかす	be indulgent to, spoil	あまやかす	子供を<b>甘やかして</b>はいけないの。	こども を <b>あまやかして</b>は いけない の	You must not spoil children.	0	0
アルファベット	alphabet	アルファベット	この子は<b>アルファベット</b>を全部言えます。	この こ は <b>あるふぁべっと</b> を ぜんぶ いえます	This kid can say the entire alphabet.	0	0
幸い	happiness, good fortune	さいわい	<b>幸い</b>、電車に嵐の影響はなかった。	<b>さいわい</b> でんしゃ に あらし の えいきょう は なかった	Fortunately, the train was not affected by the storm.	0	0
幸運	good fortune, good luck	こううん	<b>幸運</b>にもチケットを手に入れました。	<b>こううん</b> に も ちけっと を て に いれました	Fortunately, I got a ticket.	0	0
幸福	happiness, good fortune	こうふく	彼女は<b>幸福</b>な日々を過ごしているわ。	かのじょ は <b>こうふく</b> な ひび を すごして いる わ	She's leading a happy life.	0	0
砂	sand, grit	すな	靴に<b>砂</b>が入ってしまった。	くつ に <b>すな</b> が はいって しまった	Sand has got into my shoes.	0	0
砂漠	desert	さばく	<b>砂漠</b>ではほとんど雨が降らないのよ。	<b>さばく</b> で は ほとんど あめ が ふらない の よ	It hardly rains in the desert.	0	0
漁業	fishing industry	ぎょぎょう	彼らは<b>漁業</b>を営んでいるんだ。	かれら は <b>ぎょぎょう</b> を いとなん でいる ん だ 。	They are engaged in a fishing business.	0	0
薄暗い	gloomy, dim	うすぐらい	外はもう<b>薄暗くなりました</b>よ。	そと は もう <b>うすぐらく なりました</b> よ	It is already getting dark outside.	0	0
薄める	thin, dilute	うすめる	スープを少し<b>薄めましょう</b>か。	すーぷ を すこし <b>うすめましょう</b> か	Shall I water down the soup a little?	0	0
いびき	snoring	いびき	父の<b>いびき</b>は大きいんだ。	ちち の <b>いびき</b> は おおきい ん だ	My father snores loudly.	0	0
薄着	light clothing	うすぎ	子供たちは冬でも<b>薄着</b>で通します。	こどもたち は ふゆ で も <b>うすぎ</b> で とおします	The kids are dressed lightly even through the winter.	0	0
厚着	heavy clothing	あつぎ	普段から<b>厚着</b>しないようにしています。	ふだん から <b>あつぎ</b> しない よう に して います	I usually try not to wear heavy clothes.	0	0
圧力	pressure	あつりょく	相手会社から強い<b>圧力</b>が掛かった。	あいてがいしゃ から つよい <b>あつりょく</b> が かかった	The other company put on a lot of pressure.	0	0
気圧	atmospheric pressure	きあつ	高い山は<b>気圧</b>が低いね。	たかい やま は <b>きあつ</b> が ひくい ね	In high mountains the atmospheric pressure is low.	0	0
高気圧	high pressure	こうきあつ	この暑さは<b>高気圧</b>のせいです。	この あつさ は <b>こうきあつ</b> の せい です	This heat is due to high atmospheric pressure.	0	0
縮小	reduction, curtailment	しゅくしょう	これを<b>縮小</b>して印刷してください。	これ を <b>しゅくしょう</b> して いんさつ して ください	Please reduce and print this.	0	0
越す	go over, surmount	こす	暑さは峠を<b>越した</b>ね。	あつさ は とうげ を <b>こした</b> ね	The worst of the heat has passed.	0	0
いやらしい	disgusting, nasty	いやらしい	彼は<b>いやらしい</b>男ね。	かれ は <b>いやらしい</b> おとこ ね	He's a nasty man.	0	0
追い抜く	pass, overtake	おいぬく	リレーで彼は2人<b>追い抜いた</b>ね。	りれー で かれ は ふたり <b>おいぬいた</b> ね	He overtook two people in the relay.	0	0
改札	ticket gate	かいさつ	<b>改札</b>で3時に会おう。	<b>かいさつ</b> で さんじ に あおう	Let's meet at the ticket gate at 3 o'clock.	0	0
感謝	gratitude, thanks	かんしゃ	家族に<b>感謝</b>しています。	かぞく に <b>かんしゃ</b> して います	I am grateful to my family.	0	0
月謝	monthly fee	げっしゃ	先生に<b>月謝</b>を渡しましたか。	せんせい に <b>げっしゃ</b> を わたしました か	Did you give the monthly fee to the teacher?	0	0
射す	shine on	さす	今日は久しぶりに日が<b>射してる</b>ね。	きょう は ひさしぶり に ひ が <b>さして る</b> ね	The sun is shining today for the first time in a long time.	0	0
過程	process, course	かてい	プログラムの<b>過程</b>に問題があるの。	ぷろぐらむ の <b>かてい</b> に もんだい が ある の	There is a problem in the programming process.	0	0
イントネーション	intonation	イントネーション	<b>イントネーション</b>の違いに気を付けて。	<b>いんとねーしょん</b> の ちがい に き を つけて	Be careful about the difference in intonation.	0	0
課程	course, curriculum	かてい	一年生の<b>課程</b>を修了したの。	いちねんせい の <b>かてい</b> を しゅうりょう した の	He completed the first-year curriculum.	0	0
行程	distance, journey	こうてい	全部で6時間の<b>行程</b>です。	ぜんぶ で ろくじかん の <b>こうてい</b> です	It is a six-hour journey in all.	0	0
先程	some time ago, a little while ago	さきほど	その件でしたら、<b>先程</b>上司から許可を得ております。	その けん でしたら <b>さきほど</b> じょうし から きょか を えて おります	If you're referring to that matter, I obtained permission from my boss a little while ago.	0	0
優れる	be superior to, be fine	すぐれる	彼は非常に<b>優れた</b>選手です。	かれ は ひじょうに <b>すぐれた</b> せんしゅ です	He is an excellent athlete.	0	0
女優	actress	じょゆう	彼女はずっと<b>女優</b>になるのが夢でした。	かのじょ は ずっと <b>じょゆう</b> に なる の が ゆめ でした	It has always been her dream to become an actress.	0	0
透き通る	be transparent	すきとおる	湖の水は<b>透き通っていた</b>よ。	みずうみ の みず は <b>すきとおって いた</b> よ	The water of the lake was transparent.	0	0
指導	guide, lead	しどう	彼は生徒の<b>指導</b>が上手ね。	かれ は せいと の <b>しどう</b> が じょうず ね	He's good at instructing the students.	0	0
希望	hope, wish	きぼう	彼は本社で働くことを<b>希望</b>しています。	かれ は ほんしゃ で はたらく こと を <b>きぼう</b> して います	He hopes to work at the the head office.	0	0
がたがた	rattle	がたがた	この椅子は<b>がたがた</b>しているね。	この いす は <b>がたがた</b> して いる ね	This chair is unstable.	0	0
失望	disappointment, loss of hope	しつぼう	彼女は結婚生活に<b>失望</b>していたの。	かのじょ は けっこん せいかつ に <b>しつぼう</b> して いた の	She found married life disappointing.	0	0
意志	will, volition	いし	彼は<b>意志</b>の強い人です。	かれ は <b>いし</b> の つよい ひと です	He is a strong-willed man.	0	0
志す	have an ambition for, aspire	こころざす	私は医者を<b>志しています</b>。	わたし は いしゃ を <b>こころざして います</b>	I am determined to become a doctor.	0	0
怒り	anger, rage	いかり	彼ったら<b>怒り</b>爆発だったよ。	かれ ったら <b>いかり</b> ばくはつ だった よ	He blew his stack.	0	0
自身	self	じしん	自分<b>自身</b>を疑ってはいけません。	じぶん <b>じしん</b> を うたがって は いけません	Don't doubt yourself.	0	0
出身	come from, origin	しゅっしん	家内は九州<b>出身</b>です。	かない は きゅうしゅう <b>しゅっしん</b> です	My wife is from Kyushu.	0	0
全身	the whole body	ぜんしん	運動した翌日は<b>全身</b>の筋肉が痛い。	うんどう した よくじつ は <b>ぜんしん</b> の きんにく が いたい	I have muscular pain all over my body the day after I exercise.	0	0
カンニング	cheating	カンニング	<b>カンニング</b>をした人は0点です。	<b>かんにんぐ</b> を した ひと は れいてん です	Those who cheat on the exam get no points.	0	0
身長	stature, height	しんちょう	<b>身長</b>はどれくらいありますか。	<b>しんちょう</b> は どれ くらい あります か	How tall are you?	0	0
心身	mind and body	しんしん	私は<b>心身</b>共に疲れていました。	わたし は <b>しんしん</b> ともに つかれて いました	I was mentally and physically tired.	0	0
受け身	passiveness, passive voice	うけみ	彼はいつも<b>受け身</b>の姿勢で、自分からは何もしないんだ。	かれ は いつも <b>うけみ</b> の しせい で じぶん からは なに も しない ん だ	He is always passive and never initiates anything himself.	0	0
証拠	proof, evidence	しょうこ	<b>証拠</b>を見つけるまで逮捕はできません。	<b>しょうこ</b> を みつける まで たいほ は できません	It is not possible to make an arrest until evidence is found.	0	0
照明	illumination, lighting	しょうめい	もっと<b>照明</b>を明るくしてください。	もっと <b>しょうめい</b> を あかるく して ください	Please turn up the lighting more.	0	0
工夫	contrivance, scheme	くふう	いろいろ<b>工夫</b>して仕事をやりとげたさ。	いろいろ <b>くふう</b> して しごと を やりとげた さ	I made various adjustments and carried out the work.	0	0
主婦	housewife	しゅふ	<b>主婦</b>の主な仕事は家事よ。	<b>しゅふ</b> の おも な しごと は かじ よ	A housewife's main task is housework.	0	0
あぐら	sit cross legged	あぐら	彼は<b>あぐら</b>をかいてしゃべっていますね。	かれ は <b>あぐら</b> を かいて しゃべって います ね	He is talking while sitting cross-legged.	0	0
産婦人科	obstetrics and gynecology	さんふじんか	最近、<b>産婦人科</b>の不足が問題になっているね。	さいきん <b>さんふじんか</b> の ふそく が もんだい に なって いる ね	Recently, shortages of obstetrics and gynecology specialists have become a problem.	0	0
奥様	married woman, someone's wife	おくさま	社長の<b>奥様</b>はきれいな方です。	しゃちょう の <b>おくさま</b> は きれい な かた です	The president's wife is a beautiful woman.	0	0
お互い	each other	おたがい	<b>お互い</b>を信頼することが大事です。	<b>おたがい</b> を しんらい する こと が だいじ です	It is important to trust each other.	0	0
交互	by turns, alternatively	こうご	男女<b>交互</b>に並んでください。	だんじょ <b>こうご</b> に ならんで ください	Please make a line of boy girl boy girl.	0	0
高齢	advanced age, elderly	こうれい	彼は<b>高齢</b>を理由に社長を辞めたよ。	かれ は <b>こうれい</b> を りゆう に しゃちょう を やめた よ	He gave up the company presidency due to age.	0	0
愛情	love, affection	あいじょう	子供はたくさんの<b>愛情</b>が必要です。	こども は たくさん の <b>あいじょう</b> が ひつよう です	Children need plenty of love.	0	0
可愛らしい	lovely, charming	かわいらしい	彼女は娘に<b>可愛らしい</b>服を作りましたね。	かのじょ は むすめ に <b>かわいらしい</b> ふく を つくりました ね	She made her daughter some lovely clothes.	0	0
可愛がる	love, cherish	かわいがる	彼女は猫を<b>可愛がっています</b>。	かのじょ は ねこ を <b>かわいがって います</b>	She cherishes her cat.	0	0
いやいや	reluctantly	いやいや	その子は<b>いやいや</b>学校へ行ったの。	その こ は <b>いやいや</b> がっこう へ いった の	The child went to school reluctantly.	0	0
恋	love, romance	こい	彼女は<b>恋</b>をしてきれいになったね。	かのじょ は <b>こい</b> を して きれい に なった ね	She fell in love and became beautiful.	0	0
失恋	broken heart	しつれん	彼は最近、<b>失恋</b>したらしいの。	かれ は さいきん <b>しつれん</b> した らしい の	I hear he had a broken heart recently.	0	0
恋する	love, fall in love with	こいする	<b>恋する</b>気持ちを歌にしました。	<b>こいする</b> きもち を うた に しました	I expressed my feelings of love in my song.	0	0
延長	extension, prolongation	えんちょう	国会の会期が<b>延長</b>されたわね。	こっかい の かいき が <b>えんちょう</b> された わ ね	The session of the Diet has been extended.	0	0
延期	postponement, deferment	えんき	運動会は雨で<b>延期</b>されました。	うんどうかい は あめ で <b>えんき</b> されました	The athletic meet was postponed due to rain.	0	0
祝う	celebrate, congratulate	いわう	家族で彼の合格を<b>祝った</b>よ。	かぞく で かれ の ごうかく を <b>いわった</b> よ	His whole family celebrated him having passed the exam.	0	0
祝い	celebration, congratulation	いわい	結婚のお<b>祝い</b>に食器を頂きました。	けっこん の お<b>いわい</b> に しょっき を いただきました	I received tableware as a wedding gift.	0	0
ウエスト	the waist	ウエスト	最近<b>ウエスト</b>が太くなったな。	さいきん <b>うえすと</b> が ふとく なった な	My waist has gotten bigger lately.	0	0
純粋	pure, unmixed	じゅんすい	子供の<b>純粋</b>な心を傷付けてはいけません。	こども の <b>じゅんすい</b> な こころ を きずつけて は いけません	You shouldn't hurt children's pure hearts.	0	0
慎重	prudence, discretion	しんちょう	もう一度<b>慎重</b>に見直しましょう。	もういちど <b>しんちょう</b> に みなおしましょう	Let's carefully review it again.	0	0
笑顔	smiling face, smile	えがお	赤ちゃんの<b>笑顔</b>が可愛いい。	あかちゃん の <b>えがお</b> が かわいい	The baby's smile is cute.	0	0
大喜び	great joy, delight	おおよろこび	弟は新しい自転車に<b>大喜び</b>です。	おとうと は あたらしい じてんしゃ に <b>おおよろこび</b> です	My little brother is overjoyed with his new bike.	0	0
看護	nursing	かんご	この病院は24時間<b>看護</b>です。	この びょういん は にじゅうよじかん <b>かんご</b> です	This hospital has around-the-clock care.	0	0
生	life@raw, fresh	せい@なま	私がこの世に<b>生</b>を受けて80年が過ぎたわ。@彼は<b>生</b>の魚が食べられません。	わたし が このよ に <b>せい</b> を うけて はちじゅうねん が すぎた わ@かれ は <b>なま</b> の さかな が たべられません	More than 80 years have passed since I came into this world.@He can't eat raw fish.	0	0
看病	nursing, nursing care	かんびょう	彼女は一晩中彼を<b>看病</b>したの。	かのじょ は ひとばんじゅう かれ を <b>かんびょう</b> した の	She nursed him all night long.	0	0
肯定	affirmation	こうてい	僕は彼のしたことは<b>肯定</b>できないな。	ぼく は かれ の した こと は <b>こうてい</b> できない な	I can't agree with what he did.	0	0
オルガン	organ, pipe organ	オルガン	僕たちは<b>オルガン</b>に合わせて賛美歌を歌ったんだ。	ぼくたち は <b>おるがん</b> に あわせて さんびか を うたった んだ	We sang hymns with an organ accompaniment.	0	0
記述	description	きじゅつ	日本の古い料理法についての<b>記述</b>を読んだんだ。	にほん の ふるい りょうりほう に ついて の <b>きじゅつ</b> を よんだ ん だ	I read a description of ancient Japanese cooking methods.	0	0
裁判	trial, judgment	さいばん	<b>裁判</b>の様子はテレビで中継されたわよ。	<b>さいばん</b> の ようす は てれび で ちゅうけい された わ よ	Scenes of the trial were broadcast on television.	0	0
裁判所	courthouse	さいばんしょ	彼らは<b>裁判所</b>の前で知らせを待っています。	かれら は <b>さいばんしょ</b> の まえ で しらせ を まって います	They are waiting for information in front of the courthouse.	0	0
訴え	lawsuit, appeal	うったえ	彼女の<b>訴え</b>は認められたわ。	かのじょ の <b>うったえ</b> は みとめられた わ	Her complaint was admitted.	0	0
区域	zone	くいき	ここは危険<b>区域</b>よ。	ここ は きけん <b>くいき</b> よ	This is a danger zone.	0	0
疑い	doubt, suspicion	うたがい	彼は盗みの<b>疑い</b>をかけられたの。	かれ は ぬすみ の <b>うたがい</b> を かけられた の	He was suspected of the theft.	0	0
疑問	question, doubt	ぎもん	彼の言葉が本当かは<b>疑問</b>です。	かれ の ことば が ほんとう か は <b>ぎもん</b> です	I doubt whether what he says is true.	0	0
疑う	doubt, be suspicious	うたがう	なぜあなたは私を<b>疑う</b>のですか。	なぜ あなた は わたし を <b>うたがう</b> の です か	Why do you doubt me?	0	0
疑わしい	doubtful, questionable	うたがわしい	<b>疑わしい</b>場所は全部調べよう。	<b>うたがわしい</b> ばしょ は ぜんぶ しらべよう	Let's search in all the suspicious places.	0	0
訳	translation, rendering@reason, cause	やく@わけ	その文の<b>訳</b>を読みました。@そんな<b>訳</b>で、私は仕事を辞めました。	その ぶん の <b>やく</b> を よみました@そんな <b>わけ</b> で わたし は しごと を やめました	I read a translation of that sentence.@I quit my job for that reason.	0	0
著しい	remarkable, conspicuous	いちじるしい	彼の成長は<b>著しい</b>です。	かれ の せいちょう は <b>いちじるしい</b> です	His progress is remarkable.	0	0
著す	write, compose	あらわす	この本では自然の大切さがよく<b>著されている</b>よ。	この ほん で は しぜん の たいせつさ が よく <b>あらわされて いる</b> よ	The importance of nature is well written in this book.	0	0
権利	right, privilege	けんり	私たちには知る<b>権利</b>があります。	わたしたち に は しる <b>けんり</b> が あります	We have the right to know.	0	0
権力	power, authority	けんりょく	彼はこの国で大きな<b>権力</b>を持っているわ。	かれ は この くに で おおき な <b>けんりょく</b> を もって いる わ	He has a lot of power in this country.	0	0
人権	human rights	じんけん	全ての人に<b>人権</b>がある。	すべて の ひと に <b>じんけん</b> が ある	All people have human rights.	0	0
棄権	dropping out, renouncing rights	きけん	彼は試合の途中で<b>棄権</b>したぞ。	かれ は しあい の とちゅう で <b>きけん</b> した ぞ	He sat out during the game.	0	0
きっちん	kitchen	きっちん	彼女は<b>キッチン</b>で夕食を作っています。	かのじょ は <b>きっちん</b> で ゆうしょく を つくって います	She is preparing dinner in the kitchen.	0	0
侵す	invade, violate	おかす	他人の権利を<b>侵して</b>はなりません。	たにん の けんり を <b>おかして</b>は なりません	You shouldn't infringe on other people's rights.	0	0
行為	act, conduct	こうい	彼の<b>行為</b>はみんなの誤解を招いたわ。	かれ の <b>こうい</b> は みんな の ごかい を まねいた わ	His actions ended up misleading everyone.	0	0
賞	prize, award	しょう	このデザインは数々の<b>賞</b>を受けています。	この でざいん は かずかず の <b>しょう</b> を うけて います	This design has received a lot of prizes.	0	0
賞品	prize, trophy	しょうひん	パーティーのビンゴの<b>賞品</b>は何がいいだろう。	ぱーてぃー の びんご の <b>しょうひん</b> は なに が いいだろう	What might be a good prize for bingo at the party?	0	0
観賞	ornamental	かんしょう	この鉢植えは<b>観賞</b>用です。	この はちうえ は <b>かんしょう</b>よう です	This potted plant is for ornamental purposes.	0	0
財政	public finance, financial affairs	ざいせい	国の<b>財政</b>はとても苦しい状態だな。	くに の <b>ざいせい</b> は とても くるしい じょうたい だ な	The country's finances are in a very tight condition.	0	0
財産	fortune, asset	ざいさん	彼は株で<b>財産</b>の半分を失ったの。	かれ は かぶ で <b>ざいさん</b> の はんぶん を うしなった の	He lost half his assets in the stock market.	0	0
くしゃくしゃ	messy, scrunch	くしゃくしゃ	紙を<b>くしゃくしゃ</b>に丸めました。	かみ を <b>くしゃくしゃ</b> に まるめました	I rolled the paper into a ball.	0	0
金融	finance	きんゆう	彼は<b>金融</b>関係の会社で働いています。	かれ は <b>きんゆう</b> かんけい の かいしゃ で はたらいて います	He works at a financial company.	0	0
間隔	interval, space	かんかく	電車は5分<b>間隔</b>で来ますよ。	でんしゃ は ごふん <b>かんかく</b> で きます よ	The train comes every five minutes.	0	0
終了	end, expiry	しゅうりょう	コンサートは夜7時5分に<b>終了</b>しました。	こんさーと は よる しち じ ご ふん に <b>しゅうりょう</b> しました	The concert ended at 7:05 pm.	0	0
完了	completion	かんりょう	仕事は全て<b>完了</b>しました。	しごと は すべて <b>かんりょう</b> しました	I completed all the work.	0	0
修了	completion	しゅうりょう	先月、そのコースを<b>修了</b>しました。	せんげつ その こーす を <b>しゅうりょう</b> しました	I finished the course last month.	0	0
承認	approval, recognition	しょうにん	これは政府の<b>承認</b>を受けた資格です。	これ は せいふ の <b>しょうにん</b> を うけた しかく です	This is a qualification approved by the government	0	0
承知	consent, knowledge	しょうち	そのことは<b>承知</b>しております。	その こと は <b>しょうち</b> して おります	I know that.	0	0
けち	stingy, miser	けち	彼は金持ちだけど、<b>けち</b>ね。	かれ は かねもち だ けど <b>けち</b> ね	He is rich but stingy.	0	0
納める	pay a tax or fee	おさめる	自動車税を<b>納めた</b>よ。	じどうしゃぜい を <b>おさめた</b> よ	I paid my car tax.	0	0
説得	persuasion	せっとく	なんとか親を<b>説得</b>してみるよ。	なんとか おや を <b>せっとく</b> して みる よ	I will try my best to persuade my parents.	0	0
所得	income, earnings	しょとく	ここに去年の<b>所得</b>をご記入ください。	ここ に きょねん の <b>しょとく</b> を ご きにゅう ください	Please fill in last year's income here.	0	0
得る	obtain, gain	える	彼は大金を<b>得ました</b>よ。	かれ は たいきん を <b>えました</b> よ	He obtained a lot of money.	0	0
乾燥	drying up, desiccation	かんそう	冬は空気が<b>乾燥</b>しますね。	ふゆ は くうき が <b>かんそう</b> します ね	The air in winter is dry.	0	0
幹部	executive	かんぶ	あの会社の<b>幹部</b>は皆とても優秀だね。	あの かいしゃ の <b>かんぶ</b> は みんな とても ゆうしゅう だ ね	That company's executives are all exceptional people.	0	0
酸素	oxygen	さんそ	私たちは<b>酸素</b>無しでは生きていけない。	わたしたち は <b>さんそ</b> なし で は いきて いけない	We can't live without oxygen.	0	0
素直	honest, straightforward	すなお	彼女はとても<b>素直</b>で可愛いですね。	かのじょ は とても <b>すなお</b> で かわいい です ね	She is very honest and cute.	0	0
ざらざら	rough, gritty	ざらざら	砂ぼこりで机が<b>ざらざら</b>しているね。	すなぼこり で つくえ が <b>ざらざら</b> して いる ね	The top of the desk is rough because of the sandy dust.	0	0
水素	hydrogen	すいそ	水は<b>水素</b>と酸素でできています。	みず は <b>すいそ</b> と さんそ で できて います	Water is made of hydrogen and oxygen.	0	0
素早い	nimble, quick	すばやい	彼は<b>素早く</b>あたりを見回したの。	かれ は <b>すばやく</b> あたり を みまわした の	He quickly looked around.	0	0
石炭	coal	せきたん	小屋に<b>石炭</b>の山があります。	こや に <b>せきたん</b> の やま が あります	There is a mountain of coal in the hut.	0	0
岩	rock, crag	いわ	あの<b>岩</b>まで泳ごう。	あの <b>いわ</b> まで およごう	Let's swim up to that rock.	0	0
岸	shore, bank	きし	船がやっと<b>岸</b>に着いたよ。	ふね が やっと <b>きし</b> に ついた よ	The ship finally reached the shore.	0	0
校庭	schoolyard, campus	こうてい	陸上部は<b>校庭</b>で練習しています。	りくじょうぶ は <b>こうてい</b> で れんしゅう して います	A track club is practicing in the schoolyard.	0	0
解散	breakup, dissolution	かいさん	来年、衆議院が<b>解散</b>されるだろう。	らいねん しゅうぎいん が <b>かいさん</b> される だろう	The Lower House will probably be dissolved next year.	0	0
スモッグ	smog	スモッグ	都会の空は<b>スモッグ</b>で灰色ね。	とかい の そら は <b>すもっぐ</b> で はいいろ ね	The city sky is gray because of smog.	0	0
植物	plant, vegetation	しょくぶつ	休日は<b>植物</b>の世話をして過ごします。	きゅうじつ は <b>しょくぶつ</b> の せわ を して すごします	I spend my days off looking after my plants.	0	0
植民地	colony, settlement	しょくみんち	この国はイギリスの<b>植民地</b>でした。	この くに は いぎりす の <b>しょくみんち</b> でした	This country was a colony of Britain.	0	0
植木	garden plant, shrub	うえき	<b>植木</b>に水をやりました。	<b>うえき</b> に みず を やりました	I watered the plant.	0	0
植物園	botanical garden	しょくぶつえん	<b>植物園</b>には珍しい花がたくさんありますね。	<b>しょくぶつえん</b> に は めずらしい はな が たくさん あります ね	There are a lot of rare flowers in the botanical garden.	0	0
根拠	grounds, basis	こんきょ	何を<b>根拠</b>にそんな事を言うのですか。	なに を <b>こんきょ</b> に そんな こと を いう の です か	On what grounds do you say such a thing?	0	0
根本	basis, root	こんぽん	問題の<b>根本</b>を見直しましょう。	もんだい の <b>こんぽん</b> を みなおしましょう	Let's look again at the root of the problem.	0	0
板	board, plank	いた	父は長い<b>板</b>を買って来たんだ。	ちち は ながい <b>いた</b> を かって きた ん だ	My father bought a long plank.	0	0
すり	pickpocket	すり	<b>すり</b>に財布をとられた。	<b>すり</b> に さいふ を とられた	My wallet was taken by a pickpocket.	0	0
看板	signboard, sign	かんばん	店の<b>看板</b>を塗り替えました。	みせ の <b>かんばん</b> を ぬりかえました	I repainted the shop's sign.	0	0
草花	plants and flowers	くさばな	<b>草花</b>を大切にしましょう。	<b>くさばな</b> を たいせつ に しましょう	Let's take good care of plants and flowers.	0	0
草木	plants and trees	くさき	この庭は<b>草木</b>が枯れているね。	この にわ は <b>くさき</b> が かれて いる ね	The plants dry out in this garden.	0	0
言葉遣い	wording, language	ことばづかい	先生にそんな<b>言葉遣い</b>をしてはいけません。	せんせい に そんな <b>ことばづかい</b> を して は いけません	Do not speak to the teacher like that.	0	0
落ち葉	fallen leaves	おちば	<b>落ち葉</b>の季節になりましたね。	<b>おちば</b> の きせつ に なりました ね	The season of falling leaves has arrived.	0	0
木の葉	tree leaves	このは	秋には<b>木の葉</b>が赤くなります。	あき に は <b>このは</b> が あかく なります	Leaves go red in autumn.	0	0
書き言葉	written language	かきことば	<b>書き言葉</b>と話し言葉はだいぶ違うことがあります。	<b>かきことば</b> と はなしことば は だいぶ ちがう こと が あります	Written language and spoken language are sometimes quite different.	0	0
吸収	absorption, merger	きゅうしゅう	彼は知識の<b>吸収</b>が早いですね。	かれ は ちしき の <b>きゅうしゅう</b> が はやい です ね	He absorbs knowledge quickly.	0	0
おにぎり	rice ball	おにぎり	昼食に<b>おにぎり</b>を食べました。	ちゅうしょく に <b>おにぎり</b> を たべました	I ate rice balls for lunch.	0	0
呼吸	breathing, respiration	こきゅう	ゆっくり<b>呼吸</b>してください。	ゆっくり <b>こきゅう</b> して ください	Please breathe slowly.	0	0
吸い込む	inhale, suck in	すいこむ	ほこりを<b>吸い込んじゃった</b>。	ほこり を <b>すいこんじゃった</b>	I have inhaled some dust.	0	0
及ぶ	reach to, come up to	およぶ	あなたにまで迷惑が<b>及んで</b>ごめんなさい。	あなた に まで めいわく が <b>およんで</b> ごめんなさい	I'm sorry that even you've been inconvenienced.	0	0
扱う	handle, deal with	あつかう	この荷物は丁寧に<b>扱って</b>下さい。	この にもつ は ていねい に <b>あつかって</b> ください	Please handle this luggage with care.	0	0
高級	high rank, high class	こうきゅう	私たちは<b>高級</b>ホテルに泊まったの。	わたしたち は <b>こうきゅう</b> ほてる に とまった の	We stayed at a high class hotel.	0	0
級	grade, class	きゅう	彼は書道3<b>級</b>です。	かれ は しょどう さん<b>きゅう</b> です	He has a class three certificate in Japanese calligraphy.	0	0
上級	higher grade, advanced class	じょうきゅう	彼は<b>上級</b>のコースに上がったよ。	かれ は <b>じょうきゅう</b> の こーす に あがった よ	He went up to the advanced course.	0	0
かみそり	razor	かみそり	<b>かみそり</b>の刃で指を切りました。	<b>かみそり</b> の は で ゆび を きりました	I cut my finger with a razor blade.	0	0
初級	beginner class, elementary level	しょきゅう	これは<b>初級</b>の教科書です。	これ は <b>しょきゅう</b> の きょうかしょ です 。	This is a beginner's textbook.	0	0
血管	blood vessel	けっかん	年をとると<b>血管</b>が硬くなります。	とし を とる と <b>けっかん</b> が かたく なります	The blood vessels harden with age.	0	0
出血	bleeding, hemorrhage	しゅっけつ	<b>出血</b>がひどいので、医者に行ったほうがいい。	<b>しゅっけつ</b> が ひどい の で いしゃ に いった ほう が いい	You're bleeding badly so you should go see a doctor.	0	0
液体	liquid, fluid	えきたい	洗濯に<b>液体</b>の洗剤を使っています。	せんたく に <b>えきたい</b> の せんざい を つかって います	I use liquid detergent for washing clothes.	0	0
血液	blood	けつえき	心臓は全身に<b>血液</b>を送り出している。	しんぞう は ぜんしん に <b>けつえき</b> を おくりだして いる	The heart sends blood to the whole body.	0	0
液	liquid, fluid	えき	容器から<b>液</b>がこぼれていますよ。	ようき から <b>えき</b> が こぼれて います よ	The liquid is spilling from the container.	0	0
背中	back	せなか	<b>背中</b>がかゆいです。	<b>せなか</b> が かゆい です	My back itches.	0	0
